censusGroup2010,long,lat,pop_2010,Density(1000p/sqm),area(sqm),PLx2_Pop,PLx2_Pct,Avgtempreductionnight_w808pm,Green_P,Imp_P,MFor_P
370630001011,-78.88460488,36.02022844,1261,0.679278661,0.856570392,634,56.50623886,0.847667,67.91999817,26.71999931,59.97999954
370630001012,-78.8838644,36.02885952,1891,1.218643767,2.304455364,800,42.75788348,0.907226,73.30000305,25.56999969,63.04999924
370630001021,-78.90368904,36.02326272,2585,1.619882253,4.187395624,988,52.4137931,0.825103,70.12000275,29.37999916,56.90000153
370630001022,-78.90122109,36.03312664,1950,0.807899015,1.575403079,668,41.38785626,0.741116,65.33000183,31.56999969,53.50999832
370630002001,-78.88002715,36.00959211,861,0.465710761,0.400976965,571,62.67837541,0.742552,64.83999634,34.65999985,52.47000122
370630002002,-78.89177338,36.00522303,1111,2.197554405,2.441482944,470,54.52436195,0.690315,63.52999878,35.88999939,47.11000061
370630002003,-78.89539737,36.00986406,974,1.459641803,1.421691116,305,28.82797732,0.960217,75.87000275,23.95000076,68.16000366
370630003011,-78.91069399,36.01965863,1019,1.174244519,1.196555165,613,62.7430911,0.46284,43.97000122,55.02999878,33.43000031
370630003012,-78.9144127,36.01516696,728,2.764371504,2.012462455,179,28.18897638,0.861752,69.48000336,30.45000076,62.68999863
370630003013,-78.91467542,36.01156011,757,2.889279894,2.18718488,122,24.01574803,0.967994,72.12999725,27.84000015,68.13999939
370630003021,-78.90302361,36.01501127,779,1.278852152,0.996225827,160,18.77934272,1.049724,81.01999664,18.95999908,76.55000305
370630003022,-78.90378381,36.01146324,1114,2.480372991,2.763135512,469,40.60606061,1.001626,76.55999756,23.40999985,70.47000122
370630003023,-78.9065127,36.00731602,1533,2.308606298,3.539093454,887,54.21760391,0.901283,69.40000153,30.40999985,62.38999939
370630004011,-78.9270117,36.02498007,898,0.698741876,0.627470204,58,9.309791332,0.791461,72.15000153,27.65999985,58.70000076
370630004012,-78.92698965,36.01946431,931,1.27627607,1.188213022,196,25.72178478,0.964205,78.13999939,21.05999947,68.01999664
370630004013,-78.9380664,36.02093514,694,0.516209269,0.358249232,338,31.35435993,0.527745,65.61000061,33.75,37.90000153
370630004021,-78.92812022,36.01248291,1963,1.371433522,2.692124003,610,34.79749002,0.583461,51.41999817,48.31000137,39.20000076
370630005001,-78.9251309,36.00395296,1155,1.298822513,1.500140003,577,94.90131579,0.699625,67,32.45000076,51.36000061
370630005002,-78.91797012,35.99957401,584,1.252310556,0.731349365,209,35.24451939,0.862927,66.87999725,32.93999863,59.90000153
370630005003,-78.91869384,35.99454215,1289,3.145751527,4.054873718,430,60.39325843,0.700161,63.16999817,36.18999863,49.91999817
370630005004,-78.91985634,35.98927044,1065,2.243872017,2.389723698,538,65.52984166,0.801081,66.11000061,33.29000092,57.13000107
370630006001,-78.92759374,35.97914725,2431,1.35887413,3.30342301,2333,63.72575799,0.887973,72.05999756,27.61000061,62.56999969
370630006002,-78.93451135,35.98545882,2228,1.291272321,2.87695473,772,42.69911504,0.973152,75.70999908,24.12000084,68.5
370630006003,-78.94435096,35.9901614,518,0.141647436,0.073373372,0,0,1.046455,90.62000275,8.710000038,74.30000305
370630007001,-78.90991749,35.99429973,718,0.772239807,0.554468182,377,53.62731152,0.405412,49.04000092,49.68999863,30.89999962
370630007002,-78.91283432,35.98182027,1030,0.756942189,0.779650454,103,13.1713555,1.05485,84.33999634,15.42000008,75.37000275
370630007003,-78.91998861,35.97419721,1082,0.970349631,1.049918301,211,18.04961506,1.056046,82.15000153,17.64999962,73.91999817
370630009001,-78.88273371,35.99989799,801,1.544114245,1.23683551,413,63.44086022,0.714413,65.87000275,33.81999969,51.40999985
370630009002,-78.88940023,36.00001732,867,1.710420148,1.482934268,614,75.61576355,0.685738,61.66999817,37.90999985,47.72000122
370630010011,-78.88180753,35.99260041,878,1.735740438,1.523980104,690,69.48640483,0.604393,60.22000122,38.79000092,40.56999969
370630010012,-78.87720685,35.98677939,1299,2.138785618,2.778282517,664,69.8212408,0.755617,64.29000092,33.97999954,52.91999817
370630010013,-78.87317152,35.98005686,1289,1.097885569,1.415174499,883,71.90553746,0.662885,58.29999924,41.40000153,45.20999908
370630010021,-78.8686807,36.00045423,3045,1.851456631,5.637685442,1672,56.9870484,0.658896,62.25999832,36.83000183,47.25999832
370630010022,-78.8665987,35.9872941,787,0.873922033,0.68777664,183,53.19767442,0.666354,67.13999939,31.64999962,48.09000015
370630010023,-78.87526444,35.9915803,846,2.540075241,2.148903654,364,72.65469062,0.778827,67.01999664,32.93999863,57.11000061
370630010024,-78.87609385,35.99746096,1296,2.752322803,3.567010353,1136,81.72661871,0.860054,69.70999908,30.20000076,60.52999878
370630011001,-78.89059429,35.99344063,1947,2.751472893,5.357117723,697,78.75706215,0.53156,53.91999817,45.68999863,37.90000153
370630011002,-78.88954956,35.98681091,1278,1.856157927,2.372169831,1116,88.85350318,0.36741,43.20999908,54.86000061,26.5
370630013011,-78.89925132,35.98021488,1128,1.543611119,1.741193343,940,89.78032474,0.691264,63.84000015,35.68999863,51
370630013031,-78.89999771,35.97339507,3121,2.780732845,8.678667208,790,83.50951374,0.458997,48.45999908,49.61000061,31.59000015
370630013032,-78.90469176,35.9712845,555,1.473845222,0.817984098,114,35.96214511,0.819855,69.97000122,29.79000092,58.66999817
370630013041,-78.90981025,35.96665755,2557,1.478438048,3.780366088,1591,63.00990099,0.797337,70.37999725,29,56.45000076
370630014001,-78.88946963,35.97177444,984,2.134860713,2.100702942,934,80.72601556,0.782782,72.08999634,27.04000092,59.24000168
370630014002,-78.88466168,35.97816905,1625,1.131843386,1.839245503,1644,77.32831609,0.523759,55.43000031,43.99000168,37.24000168
370630015011,-78.9408338,36.0012675,3070,1.123001186,3.447613641,102,91.07142857,0.604256,55.47000122,43.86000061,44.06000137
370630015021,-78.9404539,36.01267863,2391,2.694579399,6.442739343,1602,75.10548523,0.394118,42.86000061,56.68000031,27.81999969
370630015022,-78.94629352,36.01023767,1024,6.27847232,6.429155656,350,80.45977011,0.323652,32.61000061,67.01999664,23.96999931
370630015023,-78.9507799,36.01076508,2117,2.50784516,5.309108205,1504,70.84314649,0.476014,50.56000137,49.34000015,33.49000168
370630015024,-78.95535577,36.00315489,454,0.819422109,0.372017637,340,90.42553191,0.651928,60.66999817,38.70999908,45.09999847
370630015031,-78.91566928,36.00684428,1941,4.626672133,8.980370611,0,0,0.67518,63.77999878,35.86000061,48.09000015
370630016012,-78.88776574,36.08235058,2984,0.455217033,1.358367626,514,17.7916234,0.984319,83.90000153,15.82999992,70.91000366
370630016013,-78.89994653,36.09986231,1698,0.355093734,0.60294916,563,35.4534005,0.953767,88.88999939,10.89999962,67.37000275
370630016031,-78.92298932,36.07489442,638,0.325480479,0.207656546,59,13.56321839,1.103366,89.83999634,9.779999733,79.01000214
370630016032,-78.92229571,36.09319282,2624,0.464335199,1.218415562,214,8.861283644,0.935656,81.83000183,16.69000053,66.80000305
370630016033,-78.91851126,36.1137441,1227,0.261734036,0.321147662,166,17.00819672,0.894654,85.51999664,13.67000008,64.66000366
